Jarea,JcomSize,JcomType,Jcompany,Jdb,Jeducation,Jexperience,JhireCount,JmaxSalary,JminSalary,Jname,JpayTimes,Jrequirements,Jsalary,Jtag,Jtype,Jwelfare
云南-昆明,50-200,私营/民营企业,云南君柏人力资源服务有限公司,,高中学历 ,不限经验,,8.0,6.0,金融,,,,人才交流/中介/人力资源,,
云南-西双版纳,50-200,私营/民营企业,云南景兰文旅集团,,大专学历 ,不限经验,招聘1-5,4.5,3.0,招商专员,,,,娱乐休闲/餐饮/服务,,
云南-,200-500,私营/民营企业,昆明华龙智腾科技股份有限公司,,大专学历 ,不限经验,招聘1-5,0,0,税务会计,,,,其他行业,,
云南-,50-200,私营/民营企业,云南亮云建设工程有限公司,,大专学历 ,不限经验,招聘1-5,4.5,3.0,材料采购员,,,,建筑/房地产/物业/装潢,,
云南-,200-500,私营/民营企业,中经国际招标集团有限公司云南分公司,,大专学历 ,不限经验,,4.5,3.0,行政主管,,,,建筑/房地产/物业/装潢,,
云南-大理,50-200,私营/民营企业,大理扬岭企业管理咨询服务有限公司,,大专学历 ,不限经验,招聘1-5,6.0,4.5,市场专员,,,,建筑/房地产/物业/装潢,,
云南-丽江,200-500,私营/民营企业,丽江千古情景区,,高中学历 ,不限经验,,4.5,3.0,保安（劳务）,,,,旅游/酒店,,
浙江-丽水,200-500,私营/民营企业,云南省电子信息高级技工学校（滇池校区）,,大专学历 ,不限经验,,6.0,4.5,宣讲老师,,,,教育/培训/学术/科研,,
云南-,10-50,私营/民营企业,云南红欣建设工程有限公司,,本科学历 ,10年以上经验,招聘1-5,0,0,工程项目管理/经理,,,,其他行业,,
云南-,10-50,私营/民营企业,昆明昭盛房地产经纪有限公司,,高中学历 ,不限经验,招聘5-10,15.0,10.0,区域销售,,,,建筑/房地产/物业/装潢,,
云南-,10-50,私营/民营企业,昆明丰图经贸有限公司,,本科学历 ,不限经验,招聘1-5,4.5,3.0,仓管管理员,,,,批发零售,,
云南-昆明,200-500,私营/民营企业,昆明市西山区滇鹏高级中学,,中专学历 ,不限经验,,4.5,3.0,文员,,,,教育/培训/学术/科研,,
江西-萍乡,50-200,私营/民营企业,傲拓道（北京）人力资源服务有限公司昆明分公司,,本科学历 ,不限经验,招聘1-5,0,0,出纳,,,,人才交流/中介/人力资源,,
广东-清远,1000,私营/民营企业,云南易达行房地产经纪有限公司,,中专学历 ,不限经验,,6.0,4.5,渠道专员（官渡区）,,,,建筑/房地产/物业/装潢,,
云南-玉溪,500-1000,股份制企业,云南初心保安服务有限公司,,高中学历 ,不限经验,,6.0,4.5,片区经理,,,,生活服务,,
云南-楚雄,10,股份制企业,楚雄你和我阶梯文化有限责任公司,,大专学历 ,不限经验,招聘1-5,0,0,销售人员,,,,教育/培训/学术/科研,,
云南-昆明,50-200,私营/民营企业,昆明市西山区昆润职业培训学校,,本科学历 ,不限经验,招聘1-5,0,0,城市轨道教师,,,,教育/培训/学术/科研,,
云南-,10-50,私营/民营企业,云南滇铎建设工程有限公司,,不限学历 ,不限经验,招聘1-5,0,0,技术负责人,,,,建筑/房地产/物业/装潢,,
云南-曲靖,10-50,私营/民营企业,曲靖乐智仁教育咨询有限公司,,大专学历 ,不限经验,,4.5,3.0,教育咨询师兼前台文员,,,,教育/培训/学术/科研,,
云南-楚雄,10-50,其他,云南兴彝律师事务所,,本科学历 ,不限经验,招聘1-5,4.5,3.0,总所律师实习律师,,,,其他行业,,
云南-玉溪,200-500,私营/民营企业,宏呈通讯,,本科学历 ,不限经验,,4.5,3.0,普工,,,,电子/微电子技术/半导体,,
云南-红河,50-200,私营/民营企业,云南浩刚网络科技蒙自分公司,,不限学历 ,不限经验,招聘1-5,4.5,3.0,快递员,,,,其他行业,,
广东-揭阳,50-200,私营/民营企业,云南邦铭天麻生物科技有限公司,,大专学历 ,不限经验,招聘1-5,0,0,办公室文员,,,,农/林/牧/副/渔业,,
云南-德宏,50-200,私营/民营企业,德宏锦服实业有限公司,,大专学历 ,不限经验,招聘1-5,15.0,10.0,土建造价师,,,,建筑/房地产/物业/装潢,,
云南-楚雄,10,私营/民营企业,品尚火鸭,,不限学历 ,不限经验,招聘1-5,3.0,2.0,洗碗工,,,,娱乐休闲/餐饮/服务,,
云南-,50-200,私营/民营企业,云南隆坛建筑工程有限公司,,大专学历 ,10年以上经验,招聘1-5,8.0,6.0,财务经理,,,,建筑/房地产/物业/装潢,,
内蒙古-呼和浩特,1000,国有企业,紫金财产保险股份有限公司内蒙古分公司,,本科学历 ,不限经验,招聘1-5,6.0,4.0,非车险核保,,,,金融业/银行,,
云南-,1000,股份制企业,浦发银行,,大专学历 ,不限经验,招聘1-5,8.0,6.0,产品助理,,,,其他行业,,
云南-,50-200,私营/民营企业,云南昱穹科技有限公司,,不限学历 ,不限经验,,3.0,2.0,传单派发人员,,,,互联网/电子商务/游戏,,
广东-广州,200-500,私营/民营企业,云南景航人力资源管理有限公司,,不限学历 ,不限经验,,6.0,4.5,行政接待,,,,人才交流/中介/人力资源,,
云南-昆明,1000,股份制企业,昆明尊园房地产经纪有限公司天水嘉园分公司,,不限学历 ,不限经验,,10.0,8.0,应届生销售+五险,,,,建筑/房地产/物业/装潢,,
广东-揭阳,10-50,私营/民营企业,昭通市睿邦科技有限公司,,大专学历 ,不限经验,招聘1-5,0,0,车辆监控员,,,,互联网/电子商务/游戏,,
云南-昆明,200-500,私营/民营企业,三川电缆集团,,大专学历 ,不限经验,招聘1-5,8.0,6.0,主办会计,,,,其他行业,,
云南-,10-50,私营/民营企业,昆明昭盛房地产经纪有限公司,,高中学历 ,不限经验,,15.0,10.0,渠道销售,,,,建筑/房地产/物业/装潢,,
云南-大理,10-50,私营/民营企业,大理跃宇商贸有限责任公司,,本科学历 ,不限经验,招聘1-5,4.5,3.0,行政部助理,,,,批发零售,,
安徽-安庆,10-50,私营/民营企业,昆明前程教育,,大专学历 ,不限经验,招聘5-10,0,0,教务/教学管理,,,,教育/培训/学术/科研,,
云南-玉溪,10-50,股份制企业,玉溪寿之福健康养老服务有限公司,,大专学历 ,不限经验,招聘1-5,6.0,4.5,保健品销售总监,,,,批发零售,,
云南-大理,10-50,私营/民营企业,大理市苍洱秀节能环保技术推广有限公司,,本科学历 ,不限经验,招聘1-5,6.0,4.5,汽车装配工艺工程师,,,,环保,,
云南-玉溪,500-1000,股份制企业,云南初心保安服务有限公司,,不限学历 ,不限经验,,4.5,3.0,文员、行政助理、,,,,生活服务,,
云南-,10-50,私营/民营企业,昆明昭盛房地产经纪有限公司,,不限学历 ,不限经验,,15.0,10.0,置业顾问,,,,建筑/房地产/物业/装潢,,
云南-德宏,50-200,私营/民营企业,瑞丽市嘉福房地产开发有限责任公司,,本科学历 ,不限经验,招聘1-5,0,0,测绘/测量,,,,建筑/房地产/物业/装潢,,
云南-普洱,10,股份制企业,云南鸿迦文化传媒有限公司,,不限学历 ,不限经验,招聘1-5,4.5,3.0,行政主管,,,,广告/公关/设计/市场/会展,,
云南-曲靖,10-50,私营/民营企业,雪源商贸,,不限学历 ,不限经验,招聘1-5,2.0,1.5,业务员,,,,批发零售,,
云南-文山,50-200,股份制企业,中国大地财产保险股份有限公司文山中心支公司,,中专学历 ,不限经验,招聘1-5,10.0,8.0,业务员,,,,保险,,
云南-西双版纳,50-200,私营/民营企业,西双版纳港埠商务有限公司,,大专学历 ,不限经验,招聘1-5,10.0,8.0,人力资源总监,,,,贸易/商务/进出口,,
云南-昆明,200-500,合资企业,昆明小松印刷,,中专学历 ,不限经验,招聘1-5,0,0,海德堡四色印刷机机长,,,,印刷/包装/造纸/出版,,
云南-楚雄,1000,国有企业,通号工程局集团建设工程有限公司,,大专学历 ,不限经验,招聘1-5,6.0,4.5,行政专员/助理,,,,建筑/房地产/物业/装潢,,
云南-,1000,私营/民营企业,首盛建设集团,,不限学历 ,不限经验,招聘1-5,6.0,4.5,商务司机,,,,建筑/房地产/物业/装潢,,
云南-昭通,10-50,私营/民营企业,火德红贝贝启蒙幼儿园,,高中学历 ,不限经验,,3.0,2.0,教师,,,,教育/培训/学术/科研,,
天津-天津,10-50,私营/民营企业,云南兰德视迅科技有限公司,,大专学历 ,不限经验,,4.5,3.0,销售经理,,,,计算机软件业,,
辽宁-阜新,10-50,私营/民营企业,景明大酒店,,高中学历 ,不限经验,,4.5,3.0,酒店领班,,,,旅游/酒店,,
云南-德宏,10-50,私营/民营企业,玉源建材,,中专学历 ,不限经验,,0,0,店面营销,,,,建筑/房地产/物业/装潢,,
云南-玉溪,10-50,股份制企业,玉溪寿之福健康养老服务有限公司,,大专学历 ,不限经验,招聘1-5,4.5,3.0,人事经理,,,,批发零售,,
云南-昆明,50-200,私营/民营企业,云南康舒源药业有限公司,,不限学历 ,不限经验,,6.0,4.5,医药代表,,,,批发零售,,
云南-大理,500-1000,股份制企业,云南皇氏来思尔乳业有限公司,,中专学历 ,不限经验,招聘1-5,3.0,2.0,设备维修员,,,,快速消费品,,
云南-昭通,50-200,私营/民营企业,昭通银昶企业,,中专学历 ,不限经验,招聘1-5,4.5,3.0,调度员,,,,建筑/房地产/物业/装潢,,
云南-,50-200,私营/民营企业,云南菲鲨经济信息咨询有限公司,,本科学历 ,不限经验,招聘1-5,15.0,10.0,招标管理项目经理,,,,其他行业,,
云南-昆明,50-200,私营/民营企业,云南耀兴房地产开发经营（集团）有限公司,,大专学历 ,不限经验,招聘1-5,8.0,6.0,主办会计,,,,建筑/房地产/物业/装潢,,
云南-迪庆,50-200,私营/民营企业,途风运业,,不限学历 ,不限经验,,10.0,8.0,迪庆货运司机,,,,交通/运输/物流/快递,,
辽宁-阜新,10-50,私营/民营企业,景明大酒店,,不限学历 ,不限经验,,6.0,4.5,厨师,,,,旅游/酒店,,
云南-昆明,10-50,私营/民营企业,云南小药药医药科技有限公司,,中专学历 ,不限经验,招聘1-5,4.5,3.0,整件拣货员,,,,其他行业,,
云南-昆明,200-500,私营/民营企业,云南景航人力资源管理有限公司,,大专学历 ,不限经验,,4.5,3.0,招聘专员/助理,,,,人才交流/中介/人力资源,,
云南-,10-50,私营/民营企业,云南龙辉工程有限公司,,大专学历 ,不限经验,招聘1-5,6.0,4.5,资料员,,,,建筑/房地产/物业/装潢,,
云南-,10-50,私营/民营企业,云南中孚行装饰工程有限公司,,大专学历 ,不限经验,,10.0,8.0,微信运营专员,,,,建筑/房地产/物业/装潢,,
云南-西双版纳,1000,私营/民营企业,西双版纳大兴有限责任公司,,本科学历 ,不限经验,,0,0,营业员（老大兴）,,,,批发零售,,
云南-,10-50,私营/民营企业,昆明昭盛房地产经纪有限公司,,高中学历 ,不限经验,,10.0,8.0,招聘专员/助理,,,,建筑/房地产/物业/装潢,,
云南-昆明,50-200,私营/民营企业,昆明市西山区昆润职业培训学校,,大专学历 ,不限经验,招聘1-5,4.5,3.0,办公室行政人员,,,,教育/培训/学术/科研,,
云南-曲靖,10-50,私营/民营企业,曲靖传丰食品有限公司,,不限学历 ,不限经验,招聘1-5,6.0,4.5,电子商务专员,,,,快速消费品,,
河北-承德,10-50,私营/民营企业,云南卓宁企业管理有限公司,,不限学历 ,不限经验,招聘1-5,15.0,10.0,渠道经理,,,,其他行业,,
